ID,Title,N_of_page,N_of_author,N_of_keyword
6025350,Facial Performance Transfer via Deformable Models and Parametric Correspondence,9,49,316
6025351,Handling Motion-Blur in 3D Tracking and Rendering for Augmented Reality,11,27,180
6035703,Uniform B-Spline Curve Interpolation with Prescribed Tangent and Curvature Vectors,14,35,234
6042858,Baroclinic Turbulence with Varying Density and Temperature,8,39,264
6051431,Flow Visualization with Quantified Spatial and Temporal Errors Using Edge Maps,14,7,33
6060816,Simplification of Node Position Data ;for Interactive Visualization of Dynamic Data Sets,12,56,364
6060947,Efficient Computation of Combinatorial Feature Flow Fields,11,66,414
6065731,Direct Feature Visualization Using Morse-Smale Complexes,14,62,387
6065732,Social-Event-Driven Camera Control for Multicharacter Animations,15,45,292
6081858,A Curvature-Adaptive Implicit Surface Reconstruction for Irregularly Spaced Points,14,29,207
6081859,Combining Single and Packet-Ray Tracing for Arbitrary Ray Distributions on the Intel MIC Architecture,11,24,150
6095544,Empirical Studies in Information Visualization: Seven Scenarios,17,54,338
6095545,Multimodal Data Fusion Based on Mutual Information,14,73,440
6109250,Visualizing Dynamic Data with Maps,14,19,124
6171180,Scalable Multivariate Volume Visualization and Analysis Based on Dimension Projection and Parallel Coordinates,14,10,69
6175895,WORDGRAPH: Keyword-in-Context Visualization for NETSPEAK's Wildcard Search,13,16,98
