ID,Title,N_of_page,N_of_author,N_of_keyword
6165133,On Delay Adjustment for Dynamic Load Balancing in Distributed Virtual Environments,9,2,31
6165134,Redirecting Walking and Driving for Natural Navigation in Immersive Virtual Environments,8,6,70
6165135,Walking in a Cube: Novel Metaphors for Safely Navigating Large Virtual Environments in Restricted Real Workspaces,9,12,111
6165136,Impossible Spaces: Maximizing Natural Walking in Virtual Environments with Self-Overlapping Architecture,10,17,153
6165137,Extended Overview Techniques for Outdoor Augmented Reality,8,21,181
6165138,Online Tracking of Outdoor Lighting Variations for Augmented Reality with Moving Cameras,8,23,223
6165139,The Right View from the Wrong Location: Depth Perception in Stereoscopic Multi-User Virtual Environments,8,28,262
6165140,Geometric Calibration of Head-Mounted Displays and its Effects on Distance Estimation,8,35,310
6165141,Effects of Immersion on Visual Analysis of Volume Data,10,39,362
6165142,Effective Replays and Summarization of Virtual Experiences,10,42,392
6165143,Haptic Palpation for Medical Simulation in Virtual Environments,9,44,445
6165144,Evaluating Display Fidelity and Interaction Fidelity in a Virtual Reality Game,8,48,486
6165145,Dense and Dynamic 3D Selection for Game-Based Virtual Environments,9,51,529
6165146,Scanning 3D Full Human Bodies Using Kinects,8,56,562
6165147,Interactive 3D Model Acquisition and Tracking of Building Block Structures,9,61,599
